country,city
Andorra,Andorra la Vella
Andorra,Escaldes-Engordany
Andorra,Encamp
Andorra,Sant Julia de Loria
Andorra,La Massana
Austria,Vienna
Austria,Graz
Austria,Linz
Austria,Salzburg
Austria,Innsbruck
Belarus,Minsk
Belarus,Gomel
Belarus,Mogilev
Belarus,Vitebsk
Belarus,Hrodna
Belgium,Brussels
Belgium,Antwerp
Belgium,Ghent
Belgium,Charleroi
Belgium,Liege
Bulgaria,Sofia
Bulgaria,Plovdiv
Bulgaria,Varna
Bulgaria,Burgas
Bulgaria,Ruse
Croatia,Zagreb
Croatia,Split
Croatia,Rijeka
Croatia,Osijek
Croatia,Zadar
Cyprus,Nicosia
Cyprus,Limassol
Cyprus,Larnaca
Cyprus,Famagusta
Cyprus,Paphos
Denmark,Copenhagen
Denmark,Aarhus
Denmark,Odense
Denmark,Aalborg
Denmark,Esbjerg
Estonia,Tallinn
Estonia,Tartu
Estonia,Narva
Estonia,Parnu
Estonia,Kohtla-Jarve
Finland,Helsinki
Finland,Espoo
Finland,Tampere
Finland,Vantaa
Finland,Oulu
France,Paris
France,Marseille
France,Lyon
France,Toulouse
France,Nice
Germany,Berlin
Germany,Hamburg
Germany,Munich
Germany,Cologne
Germany,Frankfurt
Greece,Athens
Greece,Thessaloniki
Greece,Piraeus
Greece,Patras
Greece,Heraklion
Hungary,Budapest
Hungary,Debrecen
Hungary,Szeged
Hungary,Miskolc
Hungary,Pecs
Iceland,Reykjavik
Iceland,Kopavogur
Iceland,Hafnarfjordur
Iceland,Akureyri
Iceland,Reykjanesbær
Ireland,Dublin
Ireland,Cork
Ireland,Limerick
Ireland,Galway
Ireland,Waterford
Italy,Rome
Italy,Milan
Italy,Naples
Italy,Turin
Italy,Palermo
Latvia,Riga
Latvia,Daugavpils
Latvia,Liepaja
Latvia,Jelgava
Latvia,Jurmala
Liechtenstein,Vaduz
Liechtenstein,Schaan
Liechtenstein,Triesen
Liechtenstein,Balzers
Liechtenstein,Eschen
Lithuania,Vilnius
Lithuania,Kaunas
Lithuania,Klaipeda
Lithuania,Siauliai
Lithuania,Panevezys
Luxembourg,Luxembourg City
Luxembourg,Esch-sur-Alzette
Luxembourg,Differdange
Luxembourg,Dudelange
Luxembourg,Ettelbruck
Malta,Valletta
Malta,Birkirkara
Malta,Mosta
Malta,Qormi
Malta,Sliema
Moldova,Chisinau
Moldova,Tiraspol
Moldova,Balti
Moldova,Bender
Moldova,Ribnita
Monaco,Monaco
Monaco,La Condamine
Monaco,Monte Carlo
Monaco,Fontvieille
Monaco,Larvotto
Montenegro,Podgorica
Montenegro,Niksic
Montenegro,Herceg Novi
Montenegro,Pljevlja
Montenegro,Budva
Netherlands,Amsterdam
Netherlands,Rotterdam
Netherlands,The Hague
Netherlands,Utrecht
Netherlands,Eindhoven
Norway,Oslo
Norway,Bergen
Norway,Trondheim
Norway,Stavanger
Norway,Drammen
Poland,Warsaw
Poland,Krakow
Poland,Lodz
Poland,Wroclaw
Poland,Poznan
Portugal,Lisbon
Portugal,Porto
Portugal,Vila Nova de Gaia
Portugal,Amadora
Portugal,Braga
Romania,Bucharest
Romania,Cluj-Napoca
Romania,Timisoara
Romania,Iasi
Romania,Constanta
Serbia,Belgrade
Serbia,Novi Sad
Serbia,Nis
Serbia,Subotica
Serbia,Kragujevac
Slovakia,Bratislava
Slovakia,Kosice
Slovakia,Presov
Slovakia,Zilina
Slovakia,Nitra
Slovenia,Ljubljana
Slovenia,Maribor
Slovenia,Celje
Slovenia,Kranj
Slovenia,Velenje
Spain,Madrid
Spain,Barcelona
Spain,Valencia
Spain,Seville
Spain,Zaragoza
Sweden,Stockholm
Sweden,Gothenburg
Sweden,Malmo
Sweden,Uppsala
Sweden,Vasteras
Switzerland,Zurich
Switzerland,Geneva
Switzerland,Basel
Switzerland,Lausanne
Switzerland,Bern
Ukraine,Kyiv
Ukraine,Kharkiv
Ukraine,Odesa
Ukraine,Dnipro
Ukraine,Donetsk
